,cloudPercent,SCA_cloudFree,SCA,SCA_error
2002-07-04,50.44357829115018,16.869015336491398,33.58146952385732,25.22178914557509
2002-07-05,52.68754844501944,26.323605676300033,38.798117405633285,26.34377422250972
2002-07-06,97.77351632791856,24.01101652478718,49.42135952638444,48.88675816395928
2002-07-07,52.805567638103525,23.98676592224979,37.72320183803438,26.402783819051763
2002-07-08,0.5076651864414343,18.43200143544426,18.59226117421284,0.25383259322071716
2002-07-09,2.6111451999776873,16.12300889517667,17.007586322307134,1.3055725999888437
2002-07-10,59.20605800382529,23.191218885410827,39.06364138223305,29.603029001912645
2002-07-11,77.74507016340799,26.556941730547624,44.78276383058199,38.872535081703994
2002-07-12,48.30232454379155,27.604211616466728,38.421898005621735,24.151162271895775
2002-07-13,96.30618925203677,19.610507246376812,48.877469650415165,48.15309462601839
2002-07-14,88.89031344589812,17.180130456598093,46.35381536626289,44.44515672294906
2002-07-15,96.54539981269232,32.386638696143294,49.39152878740579,48.27269990634616
2002-07-16,99.86565808030413,42.32365145228216,49.98968744599845,49.932829040152065
2002-07-17,97.84316239554472,43.52545877487723,49.860354660140594,48.92158119777236
2002-07-18,82.33116452294534,19.60493515509135,44.62954599940902,41.16558226147267
2002-07-19,46.24126605289719,21.646180177376692,34.75734543771504,23.120633026448594
2002-07-20,2.8306518197844377,13.291575285053222,14.330662977261063,1.4153259098922188
2002-07-21,61.43324727753274,17.773183355984155,37.571163314579486,30.71662363876637
2002-07-22,41.49615476847747,18.37567322815881,31.498552809891084,20.748077384238734
2002-07-23,3.972061678530783,15.968559012850603,17.320308838952982,1.9860308392653916
2002-07-24,83.69328888244674,25.33675213675214,45.978235418734045,41.84664444122337
2002-07-25,92.34482835513039,23.99504806291873,48.00927629305058,46.172414177565194
2002-07-26,92.23308006622479,21.861767027919328,47.81452597427936,46.11654003311239
2002-07-27,53.44242187717783,21.72246970350146,36.834666741002984,26.721210938588914
2002-07-28,3.955325463593154,16.255619707020134,17.590319773280076,1.977662731796577
2002-07-29,62.686650385288765,25.040346682606096,40.686717295060944,31.343325192644382
2002-08-08,62.03962372516547,25.087768262408744,40.54322309395161,31.019811862582735
2002-08-09,98.04947934087008,90.99742783652472,50.7996632996633,49.02473967043504
2002-08-10,100.0,-1.0,50.0,50.0
2002-08-11,100.0,-1.0,50.0,50.0
2002-08-12,84.36951176677205,19.550561797752806,45.240604144713735,42.184755883386025
2002-08-13,68.15098297369066,16.2375197057278,39.24698190257291,34.07549148684533
2002-08-14,11.441542940644975,13.386446655750095,17.575602083728402,5.720771470322488
2002-08-15,4.140727848807372,14.673688498356077,16.136454916661087,2.070363924403686
2002-08-16,41.39715683157936,16.081234119091352,30.122638826147334,20.69857841578968
2002-08-17,33.28518446222916,24.136662681925717,32.745322216335296,16.64259223111458
2002-08-18,33.884408152337606,21.999223864479987,31.487121136061937,16.942204076168803
2002-08-19,11.519647488635412,17.047001865953906,20.84307108793262,5.759823744317706
2002-08-20,30.72589237403009,24.246499230998413,32.159492159826854,15.362946187015044
2002-08-21,93.4017170253094,77.12064886786077,51.78949715687368,46.7008585126547
2002-08-22,25.518537940575943,19.121270906517065,27.00107110580517,12.759268970287971
2002-08-23,82.22996515679442,24.743529411764705,45.51191637630662,41.11498257839721
2002-08-24,86.6793418565622,33.12125905152568,47.75164061933728,43.3396709282811
2002-08-25,39.42850449566052,19.294626824439433,31.40129626737467,19.71425224783026
2002-08-26,83.33909532943748,20.127848990930083,45.02302939733238,41.66954766471874
2002-08-27,97.90794512606399,46.52278177458034,49.92725468663772,48.953972563031996
2002-08-28,92.72422174649897,24.542180675810283,48.14774551779502,46.362110873249485
2002-08-29,82.54627564674398,23.194377894904967,45.32142060660125,41.27313782337199
2002-08-30,48.909721602569824,28.657039001866586,39.0958218077987,24.454860801284912
2002-08-31,53.32935587474351,26.565990848376963,39.06319698456598,26.664677937371756
2002-09-01,98.50709658717152,91.7849141150112,50.62380840887045,49.25354829358576
2002-09-02,61.412303986081064,32.91183143777909,43.40606946086413,30.706151993040532
2002-09-03,97.4767240898701,33.09765797613787,49.573507275464124,48.73836204493505
2002-09-04,89.47961214851657,20.52681789272843,46.89930693014101,44.73980607425828
2002-09-05,72.10523967790145,26.59829674943025,43.472150966964826,36.052619838950726
2002-09-06,70.36027296447448,25.34657562590523,42.692792310608596,35.18013648223724
2002-09-07,64.97485139460449,29.459338979812777,42.80560295314888,32.48742569730224
2002-09-08,69.0438757874784,24.0031696862731,41.952388916764235,34.5219378937392
2002-09-09,58.73994054955413,19.52070070151251,37.42422298936473,29.369970274777064
2002-09-10,85.25989484893594,29.926620773129585,47.04116279458746,42.62994742446797
2002-09-11,93.02617275691948,39.11270983213429,49.24073919224015,46.51308637845974
2002-09-12,14.35344779499537,15.290278881348426,20.272320581902562,7.176723897497685
2002-09-14,10.095284850378238,16.14646677753233,19.56407738825787,5.047642425189119
2002-09-15,69.10483879961191,18.367383771296563,40.22705222424195,34.552419399805956
2002-09-16,28.756496910482056,13.887171137603618,24.271955653706307,14.378248455241028
2002-09-17,3.213911141856158,12.053074799269128,13.272655256287239,1.606955570928079
2002-09-18,0.894829625331935,9.423128884085383,9.786222747863343,0.4474148126659675
2002-09-19,95.00799946484416,38.10161920714685,49.40603276714589,47.50399973242208
2002-09-20,92.55990544473312,37.766953915324095,49.08984980431074,46.27995272236656
2002-09-21,71.74635386468043,31.27787205493508,44.71031622139958,35.873176932340215
2002-09-22,93.54754193400933,67.54211663066954,51.131897719481124,46.773770967004666
2002-09-23,99.17661290772155,67.70480704129993,50.14577909589087,49.588306453860774
2002-09-24,95.44620907636478,100.0,52.27689546181762,47.72310453818239
2002-09-25,98.90453572384266,98.11704834605598,50.527105075372404,49.45226786192133
2002-09-26,89.0554446835316,95.84373249121377,55.01739266163469,44.5277223417658
2002-09-27,94.41115316651153,86.80430879712748,52.05693644679559,47.20557658325576
2002-09-28,18.873259860788863,86.31898086719787,79.46440522934142,9.436629930394432
2002-09-29,9.953027023408385,82.99372409563165,79.70984982036462,4.9765135117041925
2002-09-30,4.301693118741458,76.07844051671874,74.95662603553596,2.150846559370729
